filepath,label_name,title_len,text_len,fields_present
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_42.json,Positive,47,23316,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_703.json,Positive,67,1151,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_596.json,Positive,66,144,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_980.json,Positive,52,364,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_129.json,Positive,37,1655,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_579.json,Positive,120,3540,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_650.json,Positive,64,3524,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_200.json,Positive,151,5456,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_715.json,Positive,107,1404,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_54.json,Positive,99,1503,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_345.json,Positive,92,267,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_892.json,Positive,61,4500,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_938.json,Positive,54,368,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_191.json,Positive,117,2661,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_484.json,Positive,127,3087,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_257.json,Positive,70,1660,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_607.json,Positive,46,2724,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_312.json,Positive,61,2824,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_742.json,Positive,88,7418,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_555.json,Positive,107,2674,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_105.json,Positive,76,457,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_806.json,Positive,79,4590,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_943.json,Positive,62,14644,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_410.json,Positive,99,412,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_369.json,Positive,95,3359,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_693.json,Positive,58,315,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_78.json,Positive,93,2146,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_739.json,Positive,119,1017,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_97.json,Positive,66,5564,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_386.json,Positive,99,3203,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_851.json,Positive,110,7213,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_152.json,Positive,106,3717,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_502.json,Positive,46,176,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_447.json,Positive,63,7659,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_914.json,Positive,46,3534,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_294.json,Positive,76,485,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_781.json,Positive,103,6063,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_514.json,Positive,97,6252,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_144.json,Positive,76,4741,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_847.json,Positive,46,4628,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_902.json,Positive,66,4091,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_451.json,Positive,69,1023,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_328.json,Positive,50,3265,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_778.json,Positive,52,10884,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_39.json,Positive,115,1892,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_282.json,Positive,81,3040,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_797.json,Positive,59,1242,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_810.json,Positive,78,679,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_113.json,Positive,117,1782,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_543.json,Positive,98,1811,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_406.json,Positive,122,4536,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_955.json,Positive,86,3172,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_685.json,Positive,67,106,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_390.json,Positive,76,9617,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_81.json,Positive,36,3202,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_684.json,Positive,46,168,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_391.json,Positive,65,3842,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_80.json,Positive,84,1333,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_811.json,Positive,108,1730,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_112.json,Positive,86,2528,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_542.json,Positive,69,1399,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_407.json,Positive,47,1857,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_954.json,Positive,102,1462,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_329.json,Positive,72,7680,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_38.json,Positive,83,2875,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_779.json,Positive,53,1975,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_283.json,Positive,80,683,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_796.json,Positive,70,3386,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_515.json,Positive,56,4334,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_145.json,Positive,57,2507,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_846.json,Positive,72,2877,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_903.json,Positive,55,385,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_450.json,Positive,66,133,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_295.json,Positive,64,4943,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_780.json,Positive,88,4253,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_850.json,Positive,95,3979,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_153.json,Positive,61,3231,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_503.json,Positive,77,1390,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_446.json,Positive,81,765,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_915.json,Positive,87,2046,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_368.json,Positive,0,1595,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_692.json,Positive,109,2894,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_738.json,Positive,73,6407,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_79.json,Positive,100,5412,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_96.json,Positive,56,577,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_387.json,Positive,128,1766,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_554.json,Positive,124,6010,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_104.json,Positive,69,139,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_807.json,Positive,90,3153,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_942.json,Positive,106,9756,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_411.json,Positive,87,469,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_256.json,Positive,81,2257,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_606.json,Positive,61,1816,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_313.json,Positive,45,3166,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_743.json,Positive,54,1773,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_893.json,Positive,87,348,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_939.json,Positive,72,1641,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_190.json,Positive,78,2406,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_485.json,Positive,90,2639,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_651.json,Positive,133,3144,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_201.json,Positive,45,686,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_55.json,Positive,57,4082,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_714.json,Positive,93,722,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_344.json,Positive,53,15643,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_597.json,Positive,67,1796,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_981.json,Positive,70,3862,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_128.json,Positive,72,2938,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_578.json,Positive,63,402,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_217.json,Positive,60,2499,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_647.json,Positive,99,3158,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_352.json,Positive,80,3192,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_702.json,Positive,114,1999,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_43.json,Positive,117,2543,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_978.json,Positive,55,902,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_1.json,Positive,7,6527,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_581.json,Positive,81,1986,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_997.json,Positive,70,751,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_610.json,Positive,61,3683,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_240.json,Positive,84,4310,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_755.json,Positive,49,3241,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_14.json,Positive,80,2204,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_305.json,Positive,94,2894,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_186.json,Positive,52,1555,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_885.json,Positive,95,2584,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_169.json,Positive,70,6423,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_493.json,Positive,84,460,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_539.json,Positive,46,4404,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_958.json,Positive,86,8243,28
